QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	
org.tribuo.classification.explanations.lime.LIMEColumnarTest	LIMEColumnarTest	low-medium	high	low-medium	low	22	9	6	0	0	35	174	172	0	1	5	0	0	0.0	0.0	0.667	0	0.0	
org.tribuo.classification.explanations.lime.LIMEExplanation	LIMEExplanation	low	low	low	low	3	4	0	0	0	4	25	12	3	1	4	0	0	0.833	0.562	0.5	0	0.0	
org.tribuo.classification.explanations.lime.LIMEText	LIMEText	low	low	low	low	2	0	0	1	0	0	50	0	2	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.explanations.lime.LIMETextCLI	LIMETextCLI	low	low-medium	low-medium	low	9	4	1	0	0	3	111	11	8	0	3	0	0	1.75	0.0	0.667	0	0.0	
org.tribuo.classification.explanations.lime.MNISTDemo	MNISTDemo	low	low	low	low	0	0	0	0	0	0	31	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.liblinear	org.tribuo.classification.liblinear	low	low-medium	low-medium	low						62	425												
org.tribuo.classification.liblinear.LibLinearClassificationModel	LibLinearClassificationModel	low-medium	medium-high	low-medium	low	10	11	9	2	0	17	133	65	0	1	3	0	0	0.0	0.333	0.0	3	0.0	
org.tribuo.classification.liblinear.LibLinearClassificationTrainer	LibLinearClassificationTrainer	low	low-medium	low-medium	low-medium	10	20	12	1	0	11	66	43	0	0	6	0	0	0.0	0.643	0.0	1	0.0	
org.tribuo.classification.liblinear.LibLinearOptions	LibLinearOptions	low	low	low	low	3	1	0	0	0	1	15	3	4	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.liblinear.LinearClassificationType	LinearClassificationType	low	low	low	low	2	8	1	0	0	7	36	18	1	1	7	0	0	1.0	0.429	0.933	1	0.0	
org.tribuo.classification.liblinear.TestLibLinearModel	TestLibLinearModel	low-medium	medium-high	low-medium	medium-high	18	45	23	0	0	23	157	113	0	1	14	2	0	0.0	0.712	0.978	1	0.0	
org.tribuo.classification.liblinear.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	18	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.libsvm	org.tribuo.classification.libsvm	low	low-medium	low-medium	low						55	351												
org.tribuo.classification.libsvm.LibSVMClassificationModel	LibSVMClassificationModel	low-medium	low-medium	low-medium	low	7	6	4	2	0	11	58	37	0	1	2	0	0	0.0	0.25	0.0	2	0.0	
org.tribuo.classification.libsvm.LibSVMClassificationTrainer	LibSVMClassificationTrainer	low	low-medium	low-medium	low	9	16	9	1	0	10	63	39	0	0	5	0	0	0.0	0.6	0.0	1	0.0	
org.tribuo.classification.libsvm.LibSVMOptions	LibSVMOptions	low	low	low	low	5	4	3	0	0	1	21	7	5	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.libsvm.SVMClassificationType	SVMClassificationType	low	low	low	low	1	8	0	0	0	8	31	21	1	1	8	0	0	0.75	0.437	0.857	0	0.0	
org.tribuo.classification.libsvm.TestLibSVM	TestLibSVM	low-medium	medium-high	low-medium	medium-high	19	44	23	0	0	23	157	112	0	1	13	2	0	0.0	0.762	0.972	1	0.0	
org.tribuo.classification.libsvm.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	21	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.mnb	org.tribuo.classification.mnb	low	low	low-medium	low						21	188												
org.tribuo.classification.mnb.MultinomialNaiveBayesModel	MultinomialNaiveBayesModel	low	low-medium	low-medium	low	9	25	14	1	0	8	68	32	2	2	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.mnb.MultinomialNaiveBayesOptions	MultinomialNaiveBayesOptions	low	low	low	low	1	1	0	0	0	1	6	3	1	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.mnb.MultinomialNaiveBayesTrainer	MultinomialNaiveBayesTrainer	low	low	low	low	2	4	0	0	0	5	47	12	2	0	4	0	0	1.0	0.375	1.0	0	0.0	
org.tribuo.classification.mnb.TestMNB	TestMNB	low	medium-high	low	low	11	30	14	0	0	7	50	48	0	1	6	1	0	0.0	0.429	0.952	1	0.0	
org.tribuo.classification.mnb.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	17	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sequence	org.tribuo.classification.sequence	low	low	low-medium	low						32	267												
