file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/TrainTest.java,org.tribuo.classification.experiments.TrainTest$AllClassificationOptions,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,2,0,0,0,0,16,9,0
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/TrainTest.java,org.tribuo.classification.experiments.TrainTest,class,8,2,1,6,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,21,1,0,0,1,0,0,0,4,0,4,1,0,1,0,25,1,1
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/ConfigurableTrainTest.java,org.tribuo.classification.experiments.ConfigurableTrainTest,class,23,17,1,55,1,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,18,112,2,2,6,4,2,18,6,22,10,22,3,0,1,1,92,1,10
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/ConfigurableTrainTest.java,org.tribuo.classification.experiments.ConfigurableTrainTest$ConfigurableTrainTestOptions,innerclass,5,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,9,1,0,0,0,0,7,0,0,0,4,0,0,0,0,34,9,0
tribuo-4.0.2/Classification/LibLinear/src/test/java/org/tribuo/classification/liblinear/TestLibLinearModel.java,org.tribuo.classification.liblinear.TestLibLinearModel$TestMap,innerclass,3,1,3,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,0,0,0,0,4,8,9,6,0,5,0,0,0,0,18,10,0
tribuo-4.0.2/Classification/LibLinear/src/test/java/org/tribuo/classification/liblinear/TestLibLinearModel.java,org.tribuo.classification.liblinear.TestLibLinearModel,class,40,29,3,66,178,0.0,0.0,20,3,10,10,0,0,10,0,0,0,4,2,0,4,0,0,4,0,23,183,9,9,0,1,0,29,35,59,3,51,1,0,1,3,109,1,0
tribuo-4.0.2/Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear/LibLinearOptions.java,org.tribuo.classification.liblinear.LibLinearOptions,class,5,2,1,0,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,12,2,0,0,0,0,9,3,4,0,4,0,0,0,0,28,1,0
tribuo-4.0.2/Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear/LibLinearClassificationModel.java,org.tribuo.classification.liblinear.LibLinearClassificationModel,class,19,36,3,48,13,0.0,0.0,6,0,2,0,3,1,6,0,0,0,3,2,0,3,0,0,3,0,10,167,5,14,6,0,3,1,38,57,8,57,4,0,0,4,149,1,0
tribuo-4.0.2/Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear/LinearClassificationType.java,org.tribuo.classification.liblinear.LinearClassificationType$LinearType,enum,1,2,1,0,0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,39,1,0
tribuo-4.0.2/Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear/LinearClassificationType.java,org.tribuo.classification.liblinear.LinearClassificationType,class,7,6,1,1,13,0.0,0.0,6,0,5,1,0,0,5,0,0,0,2,1,0,2,0,0,1,0,0,37,4,0,0,0,0,2,1,2,0,2,0,0,1,0,57,1,0
