file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
tribuo-4.1.0/Regression/RegressionTree/src/main/java/org/tribuo/regression/rtree/impl/TreeFeature.java,org.tribuo.regression.rtree.impl.TreeFeature,class,21,21,1,0,19,0,11,9,0,4,0,0,0,174
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/kernel/Kernel.java,org.tribuo.math.kernel.Kernel,interface,5,1,1,0,0,0,1,1,0,0,0,0,0,35
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorFlowCheckpointModel.java,org.tribuo.interop.tensorflow.TensorFlowCheckpointModel,class,22,16,3,0,17,12,12,7,0,5,0,2,1,167
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorFlowTrainer.java,org.tribuo.interop.tensorflow.TensorFlowTrainer,class,65,56,3,0,85,89,23,16,2,23,2,4,7,595
tribuo-4.1.0/Data/src/test/java/org/tribuo/data/csv/CSVIteratorTest.java,org.tribuo.data.csv.CSVIteratorTest,class,10,11,1,0,17,0,6,6,0,7,0,0,0,150
tribuo-4.1.0/Common/LibLinear/src/main/java/org/tribuo/common/liblinear/LibLinearTrainer.java,org.tribuo.common.liblinear.LibLinearTrainer,class,34,20,1,3,39,77,14,7,1,8,0,1,1,229
tribuo-4.1.0/Core/src/test/java/org/tribuo/test/Helpers.java,org.tribuo.test.Helpers,class,30,19,1,0,28,13,6,5,5,1,0,1,1,145
tribuo-4.1.0/Core/src/main/java/org/tribuo/provenance/EvaluationProvenance.java,org.tribuo.provenance.EvaluationProvenance,class,13,13,1,0,10,0,10,10,0,8,0,4,0,102
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/kernel/KernelSVMOptions.java,org.tribuo.classification.sgd.kernel.KernelSVMOptions,class,14,5,1,0,5,0,1,1,0,9,7,1,0,104
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/Parameters.java,org.tribuo.math.Parameters,interface,2,5,1,0,0,10,5,5,0,0,0,0,0,64
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/crf/CRFOptions.java,org.tribuo.classification.sgd.crf.CRFOptions,class,4,1,1,0,1,0,1,1,0,5,1,0,0,41
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/columnar/RowProcessor.java,org.tribuo.data.columnar.RowProcessor,class,56,56,1,0,64,89,27,25,0,12,0,3,0,512
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluationImpl.java,org.tribuo.classification.evaluation.LabelEvaluationImpl,class,19,43,1,0,16,671,38,34,0,5,0,0,2,230
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/sequence/LabelSequenceEvaluation.java,org.tribuo.classification.sequence.LabelSequenceEvaluation,class,22,37,1,0,35,543,34,30,0,5,0,1,0,213
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/optimisers/AdaGradRDA.java,org.tribuo.math.optimisers.AdaGradRDA,class,29,67,3,0,20,443,39,37,1,27,0,1,4,402
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/impl/SplitCharactersTokenizer.java,org.tribuo.util.tokens.impl.SplitCharactersTokenizer,class,13,24,2,0,9,27,15,14,2,6,2,2,4,181
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/sequence/TensorFlowSequenceTrainer.java,org.tribuo.interop.tensorflow.sequence.TensorFlowSequenceTrainer,class,52,23,3,0,53,53,14,8,1,20,2,4,6,305
tribuo-4.1.0/Core/src/main/java/org/tribuo/Trainer.java,org.tribuo.Trainer,interface,9,3,1,0,2,3,3,3,0,1,1,1,0,55
tribuo-4.1.0/MultiLabel/Core/src/test/java/org/tribuo/multilabel/MultiLabelTest.java,org.tribuo.multilabel.MultiLabelTest,class,10,5,1,0,13,6,4,3,0,0,0,0,7,76
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/LabelInfo.java,org.tribuo.classification.LabelInfo,class,20,17,1,2,15,37,12,9,0,5,0,1,0,142
tribuo-4.1.0/Common/NearestNeighbour/src/main/java/org/tribuo/common/nearest/KNNModel.java,org.tribuo.common.nearest.KNNModel,class,52,68,2,0,49,35,18,7,2,10,0,2,5,428
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/la/MatrixIterator.java,org.tribuo.math.la.MatrixIterator,interface,7,4,1,0,2,1,2,2,0,0,0,0,0,43
tribuo-4.1.0/Classification/Core/src/test/java/org/tribuo/classification/evaluation/LabelEvaluatorTest.java,org.tribuo.classification.evaluation.LabelEvaluatorTest,class,16,5,1,0,41,10,5,5,0,0,0,0,47,204
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/crf/CRFTrainer.java,org.tribuo.classification.sgd.crf.CRFTrainer,class,28,23,1,0,31,11,10,9,0,9,0,1,2,225
tribuo-4.1.0/Core/src/main/java-templates/org/tribuo/Tribuo.java,org.tribuo.Tribuo,class,1,2,1,0,3,0,0,0,0,7,7,7,0,62
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/AbstractCARTTrainer.java,org.tribuo.common.tree.AbstractCARTTrainer,class,28,26,3,3,28,35,11,7,0,10,1,2,1,208
tribuo-4.1.0/Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear/LinearClassificationType.java,org.tribuo.classification.liblinear.LinearClassificationType,class,9,9,1,0,1,24,9,7,0,3,0,1,0,104
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/csv/CSVDataSource.java,org.tribuo.data.csv.CSVDataSource,class,37,30,3,0,25,94,21,14,3,9,0,1,1,273
tribuo-4.1.0/Core/src/test/java/org/tribuo/datasource/IDXDataSourceTest.java,org.tribuo.datasource.IDXDataSourceTest,class,20,18,1,0,27,72,13,12,6,1,0,1,10,212
tribuo-4.1.0/Core/src/main/java/org/tribuo/dataset/MinimumCardinalityDataset.java,org.tribuo.dataset.MinimumCardinalityDataset,class,30,22,4,0,29,0,10,8,0,8,0,4,0,168
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/DecisionTreeTrainer.java,org.tribuo.common.tree.DecisionTreeTrainer,interface,4,3,1,0,0,3,3,3,0,0,0,0,0,40
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/impl/wordpiece/WordpieceTokenizer.java,org.tribuo.util.tokens.impl.wordpiece.WordpieceTokenizer,class,25,29,1,0,26,54,13,10,1,11,0,1,1,225
tribuo-4.1.0/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/TrainTest.java,org.tribuo.classification.libsvm.TrainTest,class,13,5,1,0,10,0,2,2,1,4,3,1,1,61
tribuo-4.1.0/Core/src/main/java/org/tribuo/Feature.java,org.tribuo.Feature,class,9,17,1,1,15,0,10,10,1,4,0,2,0,113
tribuo-4.1.0/AnomalyDetection/Core/src/main/java/org/tribuo/anomaly/evaluation/AnomalyEvaluator.java,org.tribuo.anomaly.evaluation.AnomalyEvaluator,class,18,3,2,0,3,3,3,0,0,0,0,0,1,54
tribuo-4.1.0/Clustering/Core/src/main/java/org/tribuo/clustering/evaluation/ClusteringMetrics.java,org.tribuo.clustering.evaluation.ClusteringMetrics,enum,12,11,1,0,17,13,6,4,3,1,0,0,8,106
tribuo-4.1.0/Util/InformationTheory/src/main/java/org/tribuo/util/infotheory/impl/WeightedPairDistribution.java,org.tribuo.util.infotheory.impl.WeightedPairDistribution,class,21,11,1,0,9,0,7,7,2,4,1,0,5,126
