QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI
org.tribuo.classification.libsvm.LibSVMClassificationModel	LibSVMClassificationModel	low-medium	low-medium	low-medium	low	7	6	4	2	0	11	58	37	0	1	2	0	0	0.0	0.25	0.0	2	0.0
org.tribuo.classification.libsvm.LibSVMClassificationTrainer	LibSVMClassificationTrainer	low	low-medium	low-medium	low	9	16	9	1	0	10	63	39	0	0	5	0	0	0.0	0.6	0.0	1	0.0
org.tribuo.classification.libsvm.LibSVMOptions	LibSVMOptions	low	low	low	low	5	4	3	0	0	1	21	7	5	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.libsvm.SVMClassificationType	SVMClassificationType	low	low	low	low	1	8	0	0	0	8	31	21	1	1	8	0	0	0.75	437	857	0	0.0
org.tribuo.classification.libsvm.TestLibSVM	TestLibSVM	low-medium	medium-high	low-medium	medium-high	19	42	23	0	0	23	157	112	0	1	13	2	0	0.0	762	972	1	0.0
org.tribuo.classification.libsvm.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	21	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.mnb	org.tribuo.classification.mnb	low	low	low-medium	low						21	188											
org.tribuo.classification.mnb.MultinomialNaiveBayesModel	MultinomialNaiveBayesModel	low	low-medium	low-medium	low	9	24	14	1	0	8	68	32	2	2	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.mnb.MultinomialNaiveBayesOptions	MultinomialNaiveBayesOptions	low	low	low	low	1	1	0	0	0	1	6	3	1	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.mnb.MultinomialNaiveBayesTrainer	MultinomialNaiveBayesTrainer	low	low	low	low	2	4	0	0	0	5	47	12	2	0	4	0	0	1.0	375	1.0	0	0.0
org.tribuo.classification.mnb.TestMNB	TestMNB	low	medium-high	low	low	11	28	14	0	0	7	50	48	0	1	6	1	0	0.0	429	952	1	0.0
org.tribuo.classification.mnb.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	17	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.sequence	org.tribuo.classification.sequence	low	low	low	low						32	197											
org.tribuo.classification.sequence.ConfidencePredictingSequenceModel	ConfidencePredictingSequenceModel	low	low	low	low	0	0	0	1	1	0	27	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.sequence.LabelSequenceEvaluation	LabelSequenceEvaluation	low-medium	low-medium	low-medium	low-medium	8	35	6	0	0	30	123	64	3	0	30	0	0	1.0	0.7	997	0	0.0
org.tribuo.classification.sequence.LabelSequenceEvaluator	LabelSequenceEvaluator	low	low	low	low	0	0	0	1	0	0	47	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.sequence.example	org.tribuo.classification.sequence.example	low	low	low	low						8	94											
org.tribuo.classification.sequence.example.SequenceDataGenerator	SequenceDataGenerator	low	low-medium	low-medium	low	8	8	3	0	0	8	94	92	0	1	1	6	0	0.0	429	1.0	0	0.0
<Package>org.tribuo.classification.sequence.viterbi	org.tribuo.classification.sequence.viterbi	low	low-medium	medium-high	low						18	284											
org.tribuo.classification.sequence.viterbi.DefaultFeatureExtractor	DefaultFeatureExtractor	low	low	low-medium	low	1	3	0	0	0	3	54	11	5	1	3	0	0	0.0	444	1.0	0	0.0
org.tribuo.classification.sequence.viterbi.DefaultOutcomeFeatureExtractorTest	DefaultOutcomeFeatureExtractorTest	low	low	low	low	3	1	0	0	0	1	26	25	0	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.sequence.viterbi.LabelFeatureExtractor	LabelFeatureExtractor	low	low	low	low	0	0	0	1	2	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.sequence.viterbi.NoopFeatureExtractor	NoopFeatureExtractor	low	low	low	low	1	1	0	0	0	1	11	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.sequence.viterbi.ViterbiModel	ViterbiModel	low	low	low-medium	low	2	2	0	1	0	2	104	4	4	1	2	0	0	1.6	0.0	1.0	0	0.0
